10100030 -47091.29 -146070.71
10100290 -48985.55 -144574.18
10100442 -49943.57 -143421.94
10200027 -47074.83 -146099.9
10200030 -47082.26 -146068.39
10200401 -49607.39 -143656.78
10100346 -49310.2 -144119.72
10200357 -49360.41 -144021.23
10200043 -47114.77 -145942.7
10101000 -47473.67 -145514.2
10200059 -47176.15 -145794.64
10100444 -47126.46 -145935.57
10200423 -49770.8 -143506.8
10100423 -49777.58 -143516.65
10100031 -47093.18 -146060.92
10130029 -47096.01 -146086.39
10230029 -47086.73 -146086.22
10120083 -47351 -145632.2
10120078 -47315.86 -145668.77
10100086 -47367.83 -145605.83
10200090 -47392.43 -145573.14
10210087 -47358.47 -145591.98
10210296 -49009.68 -144526.05
10120296 -49032.26 -144540.85
10200300 -49047.27 -144495.76
10120299 -49055.92 -144515.52
10200314 -49126.33 -144381.06
10230313 -49112.68 -144383.98
10130320 -49175.37 -144346.24
10200407 -49648.04 -143611.47
10220417 -49714.89 -143536.85
10100418 -49738.42 -143545.71
10110423 -49783.06 -143524.61
10200325 -49186.47 -144289.31
10100333 -49237.89 -144230.05
10200442 -49938.01 -143411.11
10100407 -49656.6 -143619.81
10100401 -49616.66 -143664.43
10200390 -49541.67 -143745.76
10100382 -49507.42 -143818.93
10200382 -49497.4 -143812.36
10200290 -48979.7 -144567.72
10100273 -48838.23 -144656.63
10200273 -48835.61 -144648.5
10100252 -48631.39 -144688.77
10200252 -48630.73 -144680.26
10100229 -48402.3 -144706.61
10200228 -48391.56 -144698.85
10100214 -48250.55 -144718.45
10200214 -48249.87 -144709.88
10100206 -48171.22 -144730.76
10200206 -48168.79 -144721.78
10100194 -48070.62 -144789.95
10200194 -48064.11 -144783.39
10100186 -48019.47 -144850.86
10200186 -48012.72 -144845.66
10100170 -47921.71 -144977.48
10200169 -47908.87 -144980.2
10100123 -47634.54 -145349.52
10200123 -47627.78 -145344.29
10100116 -47590.22 -145404.09
10200116 -47583.86 -145398.38
10100109 -47541.27 -145454.59
10200109 -47535.4 -145448.31
10100102 -47488.81 -145501.14
10200102 -47483.19 -145494.66
10200096 -47437.84 -145533.93
10100080 -47322.44 -145645.08
10200080 -47316.77 -145638.56
10100077 -47299.98 -145664.75
10100064 -47211.22 -145757.85
10200064 -47204.22 -145752.73
10200036 -47096.4 -146010.3
10100026 -47082.36 -146106.61
10100021 -47065.13 -146149.79
10100017 -47033.18 -146174.64
10100013 -46991.06 -146179.4
10100007 -46930.02 -146174.82
10100006 -46919.88 -146174.08
10109999 -46850.03 -146174.24
10209999 -46851.64 -146154.21
10200007 -46930.75 -146165.91
10200012 -46975.07 -146169.17
10200018 -47022.01 -146169.32
10200022 -47054.74 -146149.54
10200000 -46861.16 -146156.22
10200011 -46967.04 -146168.52
10200035 -47093.92 -146019.95
10200052 -47145.29 -145857.36
10200094 -47422.7 -145547
10200163 -47872.21 -145027.67
10200265 -48759.38 -144666.59
10200294 -49008.46 -144540.58
10200312 -49115.35 -144397.8
10100312 -49124 -144403.47
10100308 -49101.98 -144436.93
10200380 -49486.51 -143829.1
10100000 -46859.42 -146173.62
10100025 -47080.01 -146115.47
10100028 -47086.61 -146089.08
10100036 -47105.36 -146012.64
10100076 -47292.51 -145671.34
10100094 -47428.26 -145553.41
10100163 -47878.96 -145032.88
10100265 -48760.79 -144675.02
10100294 -49014.58 -144546.51
10100380 -49496.29 -143835.51
10120080 -47329.96 -145653.74
