1 10200442 10200423 192.81 3 1
2 10200423 10200407 161.62 3 1
3 10200407 10200401 61.05 4 1
4 10200401 10200390 110.82 4 1
5 10200390 10200382 79.98 3 1
6 10200382 10200380 19.96 3 1
7 10200380 10200357 229.85 3 1
8 10200357 10200325 319.59 3 1
9 10200325 10200314 109.71 2 1
10 10200314 10200312 20.04 3 1
11 10200312 10200300 119.21 3 1
12 10200300 10200294 59.33 2 1
13 10200294 10200290 39.56 2 1
14 10200290 10200273 166.29 2 1
15 10200273 10200265 78.43 2 1
16 10200265 10200252 129.43 2 1
17 10200252 10200228 239.91 2 1
18 10200228 10200214 142.13 2 1
19 10200214 10200206 82.12 2 1
20 10200206 10200194 122.78 2 1
21 10200194 10200186 80.8 2 1
22 10200186 10200169 169.98 2 1
23 10200169 10200163 59.99 2 1
24 10200163 10200123 400.03 2 1
25 10200123 10200116 69.69 2 1
26 10200116 10200109 69.61 2 1
27 10200109 10200102 69.83 2 1
28 10200102 10200096 60 2 1
29 10200096 10200094 20.11 3 1
30 10200094 10200090 30 3 1
31 10200090 10200080 100.03 2 1
32 10200080 10200064 160.66 2 1
33 10200064 10200059 50.55 2 1
34 10200059 10200052 69.33 1 1
35 10200052 10200043 90.66 1 1
36 10200043 10200036 70.15 2 1
37 10200036 10200035 9.96 1 1
38 10200035 10200030 49.83 1 1
39 10200030 10200027 32.38 1 1
40 10200027 10200022 54.14 1 1
41 10200022 10200018 38.81 1 1
42 10200018 10200012 47.07 1 1
43 10200012 10200011 8.06 1 1
44 10200011 10200007 36.39 1 1
45 10200007 10200000 70.31 1 1
46 10200000 10209999 9.73 1 1
47 10220417 10200407 100.28 1 2
48 10200325 10230313 119.78 1 4
49 10200300 10210296 47.22 1 3
50 10200090 10210087 38.09 1 3
51 10200036 10230029 76.15 1 4
52 10109999 10100000 9.4 2 1
53 10100000 10100006 60.51 2 1
54 10100006 10100007 10.16 2 1
55 10100007 10100013 61.22 2 1
56 10100013 10100017 42.68 2 1
57 10100017 10100021 41.23 2 1
58 10100021 10100025 37.65 2 1
59 10100025 10100026 9.16 2 1
60 10100026 10100028 18.04 2 1
61 10100028 10100030 18.97 2 1
62 10100030 10100031 9.95 2 1
63 10100031 10100036 49.8 3 1
64 10100036 10100444 79.94 3 1
65 10100444 10100064 197.83 2 1
66 10100064 10100076 118.91 2 1
67 10100076 10100077 9.96 2 1
68 10100077 10100080 29.86 2 1
69 10100080 10100086 60.01 2 1
70 10100086 10100094 80.01 3 1
71 10100094 10101000 60.07 3 1
72 10101000 10100102 20 2 1
73 10100102 10100109 70.14 2 1
74 10100109 10100116 70.37 2 1
75 10100116 10100123 70.32 2 1
76 10100123 10100163 400.05 2 1
77 10100163 10100170 69.98 2 1
78 10100170 10100186 159.98 2 1
79 10100186 10100194 79.6 2 1
80 10100194 10100206 117.97 2 1
81 10100206 10100214 80.44 2 1
82 10100214 10100229 152.23 2 1
83 10100229 10100252 229.8 2 1
84 10100252 10100265 130.17 2 1
85 10100265 10100273 79.67 2 1
86 10100273 10100290 169.94 2 1
87 10100290 10100294 40.12 2 1
88 10100294 10100308 140.26 2 1
89 10100308 10100312 40.07 3 1
90 10100312 10100333 209.58 3 1
91 10100333 10100346 129.89 4 1
92 10100346 10100380 339.75 3 1
93 10100380 10100382 19.96 3 1
94 10100382 10100401 189.32 3 1
95 10100401 10100407 59.9 3 1
96 10100407 10100418 110.31 4 1
97 10100418 10100423 48.77 3 1
98 10100423 10100442 191.27 3 1
99 10130029 10100031 24.06 1 4
100 10120078 10120080 20.62 2 2
101 10120080 10120083 30.18 2 2
102 10120083 10100086 30.18 1 2
103 10120296 10120299 34.72 2 2
104 10120299 10100308 91.06 1 2
105 10130320 10100333 133.64 1 4
106 10100418 10110423 48.24 1 3
