5001,3,-47388.79,-145568.94,-47358.47,-145591.98,38.09 
10001,3,-47314.08,-145667.19,-47328.65,-145652.22,20.89 
10002,3,-47317.7,-145670.41,-47331.27,-145655.24,20.36 
10201,1,-47351,-145632.2,-47371.49,-145610.05,30.18 
9604,3,-49659.09,-143622.23,-49743.31,-143551.94,109.75 
10102,3,-47331.27,-145655.24,-47351,-145632.2,30.35 
10101,3,-47328.65,-145652.22,-47351,-145632.2,30.01 
10302,3,-49033.51,-144541.67,-49055.92,-144515.52,34.45 
10301,3,-49030.96,-144540,-49055.92,-144515.52,35.00 
10501,1,-49175.37,-144346.24,-49244.92,-144232.17,133.64 
4801,3,-49182.46,-144286.69,-49112.68,-144383.98,119.78 
404,1,-49602.08,-143652.41,-49538.78,-143743.8,111.28 
3302,1,-47202.84,-145751.72,-47176.16,-145794.65,50.67 
3301,2,-47205.57,-145753.72,-47176.16,-145794.65,50.44 
4601,3,-46861.15,-146156.29,-46851.64,-146154.23,9.73 
4901,3,-49041.84,-144491.49,-49009.68,-144526.05,47.22 
5201,1,-46850.18,-146172.35,-46859.37,-146171.78,9.20 
5202,2,-46849.9,-146175.9,-46859.47,-146175.21,9.60 
10401,1,-49055.92,-144515.52,-49106.01,-144439.64,91.06 
9901,3,-47096.01,-146086.39,-47099.85,-146062.66,24.06 
4501,3,-46930.76,-146165.74,-46861.15,-146156.29,70.31 
4401,3,-46967.05,-146168.42,-46930.76,-146165.74,36.39 
4301,3,-46975.09,-146169.04,-46967.05,-146168.42,8.06 
4201,3,-47021.97,-146169.15,-46975.09,-146169.04,47.07 
4101,3,-47054.94,-146149.7,-47021.97,-146169.15,38.81 
4001,3,-47074.69,-146099.87,-47054.94,-146149.7,54.14 
3901,1,-47082.3,-146068.4,-47074.69,-146099.87,32.38 
3801,1,-47094.12,-146020,-47082.3,-146068.4,49.83 
3701,1,-47096.5,-146010.33,-47094.12,-146020,9.96 
3602,1,-47114.94,-145942.74,-47096.5,-146010.33,70.07 
3501,3,-47145.35,-145857.39,-47114.94,-145942.74,90.66 
3601,2,-47114.94,-145942.74,-47101.28,-146011.58,70.23 
3401,3,-47176.16,-145794.65,-47145.35,-145857.39,69.93 
3202,1,-47315.72,-145637.34,-47202.84,-145751.72,161.06 
102,0,-49938.06,-143411.22,-49770.85,-143506.87,192.81 
3201,2,-47317.87,-145639.82,-47205.57,-145753.72,160.27 
3102,1,-47391.3,-145571.83,-47315.72,-145637.34,100.03 
3101,2,-47393.6,-145574.49,-47317.87,-145639.82,100.03 
3002,0,-47421.47,-145545.57,-47391.3,-145571.83,40.00 
3001,2,-47423.65,-145548.09,-47393.6,-145574.49,40.00 
3003,3,-47419.37,-145543.15,-47388.79,-145568.94,40.01 
2902,0,-47436.63,-145532.53,-47421.47,-145545.57,20.00 
2901,2,-47438.9,-145535.16,-47423.65,-145548.09,20.00 
2903,3,-47436.63,-145532.53,-47419.37,-145543.15,20.33 
2802,1,-47482.06,-145493.35,-47436.63,-145532.53,60.00 
2801,2,-47484.32,-145495.97,-47438.9,-145535.16,60.00 
2702,1,-47534.2,-145447.02,-47482.06,-145493.35,69.77 
