101,1,10.02,-49930.64,-143418.69
101,2,20.04,-49921.74,-143423.30
101,3,30.06,-49912.83,-143427.90
101,4,40.07,-49903.94,-143432.49
101,5,50.08,-49895.04,-143437.07
101,6,60.09,-49886.23,-143441.83
101,7,70.10,-49877.41,-143446.57
101,8,80.12,-49868.59,-143451.31
101,9,90.13,-49859.82,-143456.15
101,10,100.15,-49851.05,-143460.99
101,11,110.17,-49842.32,-143465.90
101,12,120.19,-49833.74,-143471.09
101,13,130.21,-49825.08,-143476.13
101,14,140.34,-49816.35,-143481.26
101,15,150.46,-49807.76,-143486.61
101,16,160.59,-49799.18,-143491.99
101,17,170.72,-49790.69,-143497.52
101,18,180.85,-49782.26,-143503.14
102,1,10.02,-49929.15,-143415.81
102,2,20.05,-49920.21,-143420.34
102,3,30.08,-49911.32,-143424.99
102,4,40.09,-49902.40,-143429.55
102,5,50.11,-49893.55,-143434.24
102,6,60.14,-49884.68,-143438.92
102,7,70.17,-49875.84,-143443.65
102,8,80.20,-49867.00,-143448.39
102,9,90.23,-49858.23,-143453.27
102,10,100.27,-49849.48,-143458.20
102,11,110.32,-49840.74,-143463.13
102,12,120.36,-49832.03,-143468.16
102,13,130.42,-49823.37,-143473.25
102,14,140.57,-49814.65,-143478.46
102,15,150.73,-49806.02,-143483.82
102,16,160.89,-49797.42,-143489.23
102,17,171.06,-49788.90,-143494.77
102,18,181.23,-49780.33,-143500.26
103,1,10.02,-49927.61,-143412.81
103,2,20.05,-49918.69,-143417.41
103,3,30.09,-49909.85,-143422.15
103,4,40.12,-49900.84,-143426.57
103,5,50.15,-49891.92,-143431.16
103,6,60.19,-49883.06,-143435.88
103,7,70.24,-49874.25,-143440.70
103,8,80.29,-49865.44,-143445.54
103,9,90.34,-49856.65,-143450.42
103,10,100.40,-49847.81,-143455.23
103,11,110.47,-49839.00,-143460.10
103,12,120.55,-49830.27,-143465.14
103,13,130.63,-49821.62,-143470.31
103,14,140.82,-49812.90,-143475.57
103,15,151.01,-49804.24,-143480.96
103,16,161.21,-49795.62,-143486.41
103,17,171.42,-49787.09,-143492.01
103,18,181.63,-49778.41,-143497.39
201,1,8.77,-49765.49,-143514.55
201,2,18.87,-49757.27,-143520.42
201,3,28.97,-49749.19,-143526.48
201,4,39.18,-49741.03,-143532.62
201,5,49.31,-49733.03,-143538.83
201,6,59.44,-49725.05,-143545.07
201,7,69.69,-49717.16,-143551.62
201,8,79.82,-49709.43,-143558.16
201,9,89.94,-49701.68,-143564.69
201,10,100.07,-49694.11,-143571.41
201,11,110.28,-49686.57,-143578.28
201,12,120.40,-49679.06,-143585.08
201,13,130.67,-49671.76,-143592.30
201,14,140.80,-49664.47,-143599.34
201,15,150.87,-49657.34,-143606.44
202,1,8.83,-49763.59,-143511.90
202,2,18.93,-49755.37,-143517.77
202,3,29.03,-49747.25,-143523.78
202,4,39.39,-49738.98,-143530.02
202,5,49.52,-49730.94,-143536.18
202,6,59.64,-49723.02,-143542.48
202,7,70.04,-49715.03,-143549.14
202,8,80.17,-49707.30,-143555.68
202,9,90.30,-49699.73,-143562.42
202,10,100.43,-49691.99,-143568.94
202,11,110.71,-49684.33,-143575.81
202,12,120.84,-49676.89,-143582.69
202,13,131.28,-49669.36,-143589.92
202,14,141.41,-49662.09,-143596.97
202,15,151.48,-49654.93,-143604.06
203,1,8.90,-49761.64,-143509.19
203,2,19.00,-49753.49,-143515.15
203,3,29.10,-49745.32,-143521.08
203,4,39.60,-49736.88,-143527.34
203,5,49.73,-49728.89,-143533.56
203,6,59.85,-49720.92,-143539.82
